Time_Index,Drift_Type,Top_Features,Errors
571,Sensor Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'AVG_DOWNHOLE_PRESSURE', 'BORE_OIL_VOL']","[np.float64(8.533575884426677), np.float64(1.9814882255477293), np.float64(0.5679644509703132)]"
572,Sensor Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL', 'AVG_DOWNHOLE_PRESSURE']","[np.float64(6.561557135811311), np.float64(0.7673442412466756), np.float64(0.6436712964602569)]"
834,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_PRESSURE']","[np.float64(4.34875432468458), np.float64(1.3928633436446902), np.float64(0.8547051599706512)]"
835,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_PRESSURE']","[np.float64(3.9303053916192376), np.float64(1.263026661622738), np.float64(0.7875781435810492)]"
836,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_PRESSURE']","[np.float64(3.5492268117262755), np.float64(1.0809125615987), np.float64(0.7368520398414453)]"
837,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_PRESSURE']","[np.float64(3.2483252627789554), np.float64(0.9089421809303685), np.float64(0.7259166925903938)]"
838,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_PRESSURE']","[np.float64(3.0998185315405884), np.float64(0.7647718219374512), np.float64(0.7313581202617953)]"
839,Sensor Drift,"['AVG_WHP_P', 'AVG_DOWNHOLE_PRESSURE', 'DP_CHOKE_SIZE']","[np.float64(3.073872343535599), np.float64(0.7523265806389124), np.float64(0.6516535831588477)]"
840,Sensor Drift,"['AVG_WHP_P', 'AVG_DOWNHOLE_PRESSURE', 'DP_CHOKE_SIZE']","[np.float64(3.307607348249583), np.float64(0.783852708586133), np.float64(0.6432770497464725)]"
841,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_PRESSURE']","[np.float64(4.369097345556173), np.float64(0.8863825408479707), np.float64(0.6720197248527247)]"
851,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_TEMPERATURE']","[np.float64(7.631041205256858), np.float64(1.4792389534235244), np.float64(0.9825798064925315)]"
852,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_TEMPERATURE']","[np.float64(7.3722518475557), np.float64(1.3932710469469272), np.float64(0.9733835296353484)]"
853,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_TEMPERATURE']","[np.float64(7.354234086185042), np.float64(1.3467529685585755), np.float64(0.9948565299828724)]"
863,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_TEMPERATURE']","[np.float64(9.011769235313558), np.float64(1.615431824867948), np.float64(1.2147475858534726)]"
875,Sensor Drift,"['AVG_WHP_P', 'AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL']","[np.float64(29.71529224895526), np.float64(6.5421772062876995), np.float64(2.780164166311269)]"
